invoice_id,client_name,amount,issue_date,due_date,paid_date,days_to_pay,historical_client_delay,avg_client_amount,relative_amount,days_until_due,is_weekend
0,"Morgan, Schultz and Weaver",11158.03,2025-10-06,2025-12-05,2025-12-15,70,54.25,27012.770625,0.413064996364104,60,0
1,"Bullock, Spears and Dawson",18269.48,2026-02-07,2026-02-22,2026-03-01,22,38.38297872340426,21028.421063829785,0.8687994188695728,15,1
2,Guerrero Ltd,27043.29,2025-05-28,2025-07-12,2025-07-05,38,46.75,27143.911346153844,0.9962930417480862,45,0
3,Ruiz LLC,31116.73,2025-05-24,2025-06-08,2025-05-29,5,36.333333333333336,26597.913787878788,1.1698936333187353,15,1
4,Guerrero Ltd,33232.53,2026-02-21,2026-03-23,2026-03-23,30,46.75,27143.911346153844,1.2243088174066292,30,1
5,Golden Group,19316.25,2026-01-08,2026-01-23,2026-01-22,14,34.95454545454545,26376.188181818183,0.7323366768104579,15,0
6,Holmes Inc,10870.6,2025-05-20,2025-07-04,2025-07-27,68,53.84615384615385,23375.006153846156,0.46505228398459,45,0
7,Austin-Burns,26939.92,2025-10-07,2025-10-22,2025-10-20,13,46.93617021276596,25027.96574468085,1.0763927150461876,15,0
8,"Perez, Schmidt and Hatfield",49481.41,2025-07-04,2025-08-03,2025-07-30,26,42.48979591836735,27635.63102040816,1.7904932209964495,30,1
9,"Baxter, Villa and Edwards",11837.88,2025-09-05,2025-10-05,2025-10-05,30,51.32786885245902,27042.85131147541,0.4377452607956578,30,1
10,Nguyen Group,10943.65,2025-12-06,2026-01-20,2026-01-19,44,35.81132075471698,24230.044716981134,0.45165620319018085,45,1
11,"Hamilton, Young and Jackson",20083.78,2026-02-14,2026-03-31,2026-05-02,77,50.07017543859649,22890.37894736842,0.8773895812812186,45,1
12,Holmes Inc,37376.95,2026-05-07,2026-06-06,2026-06-22,46,53.84615384615385,23375.006153846156,1.599013482777199,30,0
13,"Baxter, Villa and Edwards",44942.23,2025-08-07,2025-09-21,2025-09-15,39,51.32786885245902,27042.85131147541,1.6618894761636744,45,0
14,Ruiz LLC,25721.55,2025-09-10,2025-10-25,2025-10-23,43,36.333333333333336,26597.913787878788,0.967051408810936,45,0
15,Bailey LLC,31558.58,2026-02-06,2026-02-21,2026-02-19,13,42.25,25788.127794117645,1.2237639060869947,15,1
16,Smith-Kim,49808.01,2025-12-03,2025-12-18,2025-12-09,6,35.90909090909091,27937.150909090906,1.7828593245631283,15,0
17,Nichols Inc,34174.03,2026-01-27,2026-03-13,2026-03-13,45,40.24444444444445,26010.245777777774,1.3138680153955742,45,0
18,Evans Ltd,6021.83,2026-03-25,2026-05-09,2026-05-04,40,44.63265306122449,25183.376734693877,0.23911924375510876,45,0
19,Smith-Kim,48608.46,2026-02-09,2026-03-11,2026-03-07,26,35.90909090909091,27937.150909090906,1.7399218752898147,30,0
20,"Morgan, Schultz and Weaver",42162.63,2025-11-08,2025-11-23,2025-11-19,11,54.25,27012.770625,1.5608406329478466,15,1
21,Nichols Inc,27199.26,2025-05-28,2025-06-27,2025-07-08,41,40.24444444444445,26010.245777777774,1.045713302072604,30,0
22,Nichols Inc,1464.1,2026-03-09,2026-03-24,2026-03-17,8,40.24444444444445,26010.245777777774,0.05628935660619073,15,0
23,Guerrero Ltd,43961.48,2025-07-28,2025-09-11,2025-09-27,61,46.75,27143.911346153844,1.6195705710713326,45,0
24,Bailey LLC,48910.23,2026-02-03,2026-02-18,2026-02-17,14,42.25,25788.127794117645,1.8966181023484994,15,0
25,"Baxter, Villa and Edwards",47369.01,2025-08-13,2025-09-12,2025-10-13,61,51.32786885245902,27042.85131147541,1.751627794510683,30,0
26,"Morgan, Schultz and Weaver",21445.33,2025-10-04,2025-11-18,2025-12-27,84,54.25,27012.770625,0.7938959797094121,45,1
27,Horton LLC,49759.89,2026-04-23,2026-05-23,2026-06-18,56,62.05128205128205,25709.866923076923,1.9354394228830494,30,0
28,Guerrero Ltd,6489.71,2025-07-12,2025-09-10,2025-09-03,53,46.75,27143.911346153844,0.23908529309721457,60,1
29,"Perez, Schmidt and Hatfield",27919.12,2025-09-17,2025-10-02,2025-09-23,6,42.48979591836735,27635.63102040816,1.0102580968526642,15,0
30,"Hamilton, Young and Jackson",3414.25,2026-04-10,2026-05-10,2026-06-20,71,50.07017543859649,22890.37894736842,0.14915655209773263,30,1
31,Bailey LLC,25950.73,2026-03-17,2026-04-01,2026-03-31,14,42.25,25788.127794117645,1.0063053125523693,15,0
32,Austin-Burns,36305.95,2025-11-19,2026-01-18,2026-01-27,69,46.93617021276596,25027.96574468085,1.4506152985172611,60,0
33,"Hamilton, Young and Jackson",40471.1,2025-11-17,2026-01-16,2026-02-16,91,50.07017543859649,22890.37894736842,1.7680397556132526,60,0
34,Horton LLC,18037.73,2025-08-23,2025-09-07,2025-10-05,43,62.05128205128205,25709.866923076923,0.70158783995142,15,1
35,Smith-Kim,33831.55,2025-07-30,2025-09-28,2025-09-28,60,35.90909090909091,27937.150909090906,1.2109878387416746,60,0
36,Evans Ltd,40129.33,2025-05-13,2025-05-28,2025-05-23,10,44.63265306122449,25183.376734693877,1.5934848778526127,15,0
37,Evans Ltd,22706.37,2026-03-10,2026-04-09,2026-05-14,65,44.63265306122449,25183.376734693877,0.9016411992407106,30,0
38,Smith-Kim,43787.05,2026-02-14,2026-03-16,2026-03-13,27,35.90909090909091,27937.150909090906,1.5673412848176815,30,1
39,Bailey LLC,5346.48,2026-04-21,2026-06-20,2026-06-12,52,42.25,25788.127794117645,0.2073233094966882,60,0
40,"Baxter, Villa and Edwards",8732.4,2025-10-22,2025-11-06,2025-11-03,12,51.32786885245902,27042.85131147541,0.3229097368255128,15,0
41,Mcknight PLC,45170.92,2026-03-30,2026-05-29,2026-06-24,86,49.5625,21329.647708333334,2.1177527457404772,60,0
42,"Morgan, Schultz and Weaver",13627.55,2025-09-20,2025-11-19,2025-12-14,85,54.25,27012.770625,0.5044854594584927,60,1
43,Holmes Inc,33262.63,2025-11-26,2026-01-10,2026-02-15,81,53.84615384615385,23375.006153846156,1.42299983927606,45,0
44,Mcknight PLC,48451.11,2025-06-04,2025-07-04,2025-07-18,44,49.5625,21329.647708333334,2.2715382205337837,30,0
45,"Hamilton, Young and Jackson",2982.05,2025-06-27,2025-07-12,2025-07-12,15,50.07017543859649,22890.37894736842,0.13027525699144574,15,1
46,Mcknight PLC,4465.52,2025-10-09,2025-11-08,2025-12-11,63,49.5625,21329.647708333334,0.20935741935650232,30,0
47,"Morgan, Schultz and Weaver",43160.05,2025-05-11,2025-05-26,2025-07-09,59,54.25,27012.770625,1.5977646498821518,15,0
48,Ruiz LLC,12687.66,2026-01-11,2026-01-26,2026-01-17,6,36.333333333333336,26597.913787878788,0.47701711123607093,15,0
49,"Guzman, Duarte and Taylor",33039.97,2025-09-12,2025-09-27,2025-09-21,9,30.49019607843137,24701.661764705877,1.3375606189866962,15,1
50,"Hamilton, Young and Jackson",33651.44,2025-06-13,2025-07-28,2025-07-25,42,50.07017543859649,22890.37894736842,1.4701128398692902,45,1
51,"Bullock, Spears and Dawson",33748.67,2025-05-20,2025-06-19,2025-06-28,39,38.38297872340426,21028.421063829785,1.6049074677342203,30,0
52,Golden Group,961.12,2025-07-23,2025-09-21,2025-09-20,59,34.95454545454545,26376.188181818183,0.03643892716319509,60,0
53,"Guzman, Duarte and Taylor",25541.29,2026-01-11,2026-01-26,2026-02-09,29,30.49019607843137,24701.661764705877,1.0339907591356383,15,0
54,Duarte Group,18791.59,2025-12-11,2026-01-25,2026-01-22,42,52.048780487804876,21627.400487804876,0.8688788100352645,45,0
55,"Morgan, Schultz and Weaver",30778.05,2026-01-02,2026-03-03,2026-02-27,56,54.25,27012.770625,1.13938886267058,60,1
56,Nichols Inc,15319.25,2026-03-05,2026-03-20,2026-03-12,7,40.24444444444445,26010.245777777774,0.5889698286929769,15,0
57,Evans Ltd,37249.63,2025-07-21,2025-08-20,2025-08-27,37,44.63265306122449,25183.376734693877,1.4791356374652906,30,0
58,Duarte Group,36021.8,2025-09-13,2025-10-28,2025-11-11,59,52.048780487804876,21627.400487804876,1.6655630906872858,45,1
59,Horton LLC,45314.16,2026-02-19,2026-04-05,2026-04-22,62,62.05128205128205,25709.866923076923,1.7625202081200373,45,0
